instance_id,test_rmse,train_rmse,lambda_,kernel_type,kernel_params,loss_type
5,0.22404846144767057,0.22237822256707016,0.0001,matern,length_scale=1.0_nu=1.5_sigma=1.0,cross_entrophy
5,0.2237804292121221,0.22208255341543792,0.0001,matern,length_scale=1.0_nu=0.5_sigma=1.0,cross_entrophy
5,0.22436568267412196,0.22269027015050824,0.0001,matern,length_scale=1.0_nu=2.5_sigma=1.0,cross_entrophy
5,0.2239312508568456,0.22238968067160328,0.0001,gaussian,length_scale=1.0_sigma=1.0,cross_entrophy
5,0.22606175266771972,0.2259374579750117,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,cross_entrophy
5,0.2238819367198306,0.22223839953434837,0.0001,laplace,sigma=1.0,cross_entrophy
5,0.23125245312085513,0.22849056725992684,0.0001,gaussian,length_scale=1.0_sigma=1.0,mse
5,0.22987396463043797,0.2287168757761502,0.0001,matern,length_scale=1.0_nu=1.5_sigma=1.0,mse
5,0.23132586716745293,0.23174575427095098,0.0001,matern,length_scale=1.0_nu=0.5_sigma=1.0,mse
5,0.2238461505495427,0.222160196692374,0.0001,matern,length_scale=1.0_nu=0.5_sigma=1.0,cross_entrophy
5,0.23120556256194605,0.2316464383198343,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,mse
4,0.2652616540198482,0.264173412166678,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,cross_entrophy
4,0.2635349624645516,0.2618955897246478,0.0001,matern,length_scale=1.0_nu=0.5_sigma=1.0,cross_entrophy
4,0.2641401300930564,0.26164526405903316,0.0001,matern,length_scale=1.0_nu=1.5_sigma=1.0,cross_entrophy
4,0.2636312665398019,0.26147024968463656,0.0001,laplace,sigma=1.0,cross_entrophy
4,0.26877248082283006,0.27011821247383544,0.0001,laplace,sigma=1.0,mse
4,0.27342675051676824,0.2713850649316231,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,mse
2,0.17927019756041115,0.1786533638189063,0.0001,gaussian,length_scale=1.0_sigma=1.0,mse
